03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=15805, title='马丁·路德·金 - i have a dream - 有声读物版', album='<unknown>', albumId=3, displayName='马丁·路德·金 - i have a dream - 有声读物版.mp3', musicNameNoTail='null', artist='<unknown>', duration=978851, size=15672417, path='/storage/emulated/0/kgmusic/download/马丁·路德·金 - i have a dream - 有声读物版.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=15822, title='李宗盛 - 漂洋过海来看你 - CCTV精彩音乐汇现场', album='<unknown>', albumId=3, displayName='李宗盛 - 漂洋过海来看你 - CCTV精彩音乐汇现场.mp3', musicNameNoTail='null', artist='<unknown>', duration=232698, size=3723725, path='/storage/emulated/0/kgmusic/download/李宗盛 - 漂洋过海来看你 - CCTV精彩音乐汇现场.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=41041, title='take me to your heart(英文版吻别)', album='<unknown>', albumId=3, displayName='Michael Learns To Rock - Take Me To Your Heart.mp3', musicNameNoTail='null', artist='Michael Learns to Rock', duration=238811, size=9554745, path='/storage/emulated/0/kgmusic/download/Michael Learns To Rock - Take Me To Your Heart.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=41075, title='In The End', album='<unknown>', albumId=3, displayName='Linkin Park - In The End.mp3', musicNameNoTail='null', artist='Linkin Park', duration=219448, size=8778495, path='/storage/emulated/0/kgmusic/download/Linkin Park - In The End.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=157957, title='Delacey - Dream It Possible - 铃声版', album='<unknown>', albumId=3, displayName='Delacey - Dream It Possible - 铃声版.mp3', musicNameNoTail='null', artist='<unknown>', duration=35526, size=568969, path='/storage/emulated/0/kgmusic/download/Delacey - Dream It Possible - 铃声版.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=183673, title='1486438358760', album='<unknown>', albumId=3, displayName='1486438358760.mp3', musicNameNoTail='null', artist='<unknown>', duration=288, size=18294, path='/storage/emulated/0/LAME/mp3/1486438358760.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=183674, title='1486438936117', album='<unknown>', albumId=3, displayName='1486438936117.mp3', musicNameNoTail='null', artist='<unknown>', duration=5544, size=22176, path='/storage/emulated/0/LAME/mp3/1486438936117.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=662784, title='李沁 - 隐形的翅膀 (Live)', album='<unknown>', albumId=3, displayName='李沁 - 隐形的翅膀 (Live).mp3', musicNameNoTail='null', artist='<unknown>', duration=225935, size=3615940, path='/storage/emulated/0/kgmusic/download/李沁 - 隐形的翅膀 (Live).mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=774401, title='可以当闹钟的音乐intro-thexx_欧美其它(铃声)', album='<unknown>', albumId=3, displayName='铃声 - 可以当闹钟的音乐 (铃声).mp3', musicNameNoTail='null', artist='铃声', duration=21106, size=339374, path='/storage/emulated/0/kgmusic/download/铃声 - 可以当闹钟的音乐 (铃声).mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=905856, title='zhangruoyun2', album='<unknown>', albumId=3, displayName='zhangruoyun2.mp3', musicNameNoTail='null', artist='<unknown>', duration=4016, size=107502, path='/storage/emulated/0/codoonsports/voice/0_scene/zhangruoyun2.mp3', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=1213067, title='sound_1', album='<unknown>', albumId=3, displayName='sound_1.wav', musicNameNoTail='null', artist='<unknown>', duration=1000, size=147500, path='/storage/emulated/0/Music/sound_1.wav', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=1213068, title='sound_4', album='<unknown>', albumId=3, displayName='sound_4.wav', musicNameNoTail='null', artist='<unknown>', duration=2000, size=319532, path='/storage/emulated/0/Music/sound_4.wav', lrcTitle='null', lrcSize='null', isPlaying=false}
03-04 19:25:52.090 8047-8262/com.test.musicplayer D/QueryLocalMusicThread: musicPlayer_log queryLocalMusics() -- musicInfoBean = MusicInfoBean{songId=1213070, title='sound_2', album='<unknown>', albumId=3, displayName='sound_2.wav', musicNameNoTail='null', artist='<unknown>', duration=3000, size=230044, path='/storage/emulated/0/Music/sound_2.wav', lrcTitle='null', lrcSize='null', isPlaying=false}
